,Year,Player,Voting,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
0,2025,A'ja Wilson,,LVA,40,31.2,23.4,10.2,3.1,1.6,2.3,0.505,0.424,0.855,9.5,0.365
1,2024,A'ja Wilson,,LVA,38,34.4,26.9,11.9,2.3,1.8,2.6,0.518,0.317,0.844,10.9,0.399
2,2023,Breanna Stewart,,NYL,40,34.1,23.0,9.3,3.8,1.5,1.6,0.465,0.355,0.851,10.3,0.362
3,2022,A'ja Wilson,,LVA,36,30.0,19.5,9.4,2.1,1.4,1.9,0.501,0.373,0.813,6.5,0.289
4,2021,Jonquel Jones,,CON,27,31.7,19.4,11.2,2.8,1.3,1.3,0.515,0.362,0.802,6.6,0.369
5,2020,A'ja Wilson,,LVA,22,31.7,20.5,8.5,2.0,1.2,2.0,0.48,,0.781,4.0,0.276
6,2019,Elena Delle Donne,,WAS,31,29.1,19.5,8.2,2.2,0.6,1.3,0.515,0.43,0.974,7.7,0.411
7,2018,Breanna Stewart,,SEA,34,31.6,21.8,8.4,2.5,1.4,1.4,0.529,0.415,0.82,7.7,0.346
8,2017,Sylvia Fowles,,MIN,34,30.8,18.9,10.4,1.5,1.3,2.0,0.655,,0.768,9.2,0.42
9,2016,Nneka Ogwumike,,LAS,33,31.6,19.7,9.1,3.1,1.3,1.2,0.665,0.615,0.869,9.6,0.444
10,2015,Elena Delle Donne,,CHI,31,33.3,23.4,8.4,1.4,1.1,2.0,0.46,0.313,0.95,8.9,0.415
11,2014,Maya Moore,,MIN,34,34.7,23.9,8.1,3.4,1.9,0.8,0.481,0.335,0.884,8.3,0.339
12,2013,Candace Parker,,LAS,31,28.7,17.9,8.7,3.8,1.3,1.8,0.493,0.257,0.762,6.5,0.353
13,2012,Tina Charles,,CON,33,33.2,18.0,10.5,1.7,0.5,1.4,0.499,0.2,0.802,5.5,0.24
14,2011,Tamika Catchings,,IND,33,31.5,15.5,7.1,3.5,2.0,0.9,0.438,0.348,0.883,6.5,0.298
15,2010,Lauren Jackson,,SEA,32,31.0,20.5,8.3,1.2,0.9,1.2,0.462,0.346,0.91,8.3,0.4
16,2009,Diana Taurasi,,PHO,31,31.5,20.4,5.7,3.5,1.2,1.4,0.461,0.407,0.894,5.4,0.267
17,2008,Candace Parker,,LAS,33,33.6,18.5,9.5,3.4,1.3,2.3,0.523,0.423,0.733,7.7,0.333
18,2007,Lauren Jackson,,SEA,31,32.9,23.8,9.7,1.3,1.0,2.0,0.519,0.402,0.883,9.5,0.448
19,2006,Lisa Leslie,,LAS,34,30.8,20.0,9.5,3.2,1.5,1.7,0.511,0.4,0.65,6.4,0.291
20,2005,Sheryl Swoopes,,HOU,33,37.1,18.6,3.6,4.3,2.0,0.8,0.447,0.36,0.85,7.1,0.279
21,2004,Lisa Leslie,,LAS,34,33.8,17.6,9.9,2.6,1.5,2.9,0.494,0.273,0.712,6.8,0.283
22,2003,Lauren Jackson,,SEA,33,33.6,21.2,9.3,1.9,1.2,1.9,0.483,0.317,0.825,9.2,0.4
23,2002,Sheryl Swoopes,,HOU,32,36.1,18.5,4.9,3.3,2.8,0.7,0.434,0.288,0.825,7.1,0.296
24,2001,Lisa Leslie,,LAS,31,33.3,19.5,9.6,2.4,1.1,2.3,0.473,0.367,0.736,7.0,0.327
25,2000,Sheryl Swoopes,,HOU,31,35.2,20.7,6.3,3.8,2.8,1.1,0.506,0.374,0.821,9.8,0.433
26,1999,Yolanda Griffith,,SAC,29,33.8,18.8,11.3,1.6,2.5,1.9,0.541,0.0,0.617,8.1,0.397
27,1998,Cynthia Cooper,,HOU,30,35.0,22.7,3.7,4.4,1.6,0.4,0.446,0.4,0.854,10.0,0.458
28,1997,Cynthia Cooper,,HOU,28,35.1,22.2,4.0,4.7,2.1,0.2,0.47,0.414,0.864,9.4,0.462
